#OTU ID,SRR6072276_ALAGAPPA_2017,SRR6072278_ALAGAPPA_2017
K01416,0.0,0.0
K01417,0.0,0.0
K01419,1821.39,1368.59
K01420,3069.16,2264.92
K01421,499.0,80.0
K01424,1901.31,1259.67
K01425,703.97,272.5
K01426,2926.7,2035.51
K01427,0.0,0.0
K01428,763.47,388.41
K01429,693.8,340.08
K01430,693.8,340.08
K01432,140.0,24.0
K01433,1336.13,978.83
K01434,1006.23,914.92
K01436,980.17,696.3399999999999
K01437,0.0,62.0
K01438,1331.73,1190.09
K01439,1892.47,1174.41
K01442,321.0,40.0
K01443,923.0,841.5
K01444,535.34,455.01
K01446,0.0,0.0
K01447,858.0,391.25
K01448,3258.06,2725.75
K01449,399.0,270.0
K01451,1940.52,718.0
K01452,0.0,0.0
K01453,263.0,95.0
K01455,267.0,27.0
K01457,241.08,193.83
K01458,543.34,220.51
K01459,0.0,36.0
K01460,0.0,0.0
K01461,0.0,12.0
K01462,3843.45,3009.41
K01464,587.89,334.58
K01465,4129.29,3684.52
K01466,622.6700000000001,78.33
K01467,517.31,278.01
K01468,1746.98,1173.59
K01469,449.0,260.0
K01470,880.8400000000001,764.4200000000001
K01471,7.0,12.0
K01473,626.0,796.25
K01474,619.0,747.75
K01476,1020.17,641.3399999999999
K01477,367.75,51.91
K01478,581.72,171.5
K01479,1064.31,757.26
K01480,1796.5700000000002,902.92
K01481,1.67,2.33
K01482,70.5,27.0
K01483,329.47,95.91
K01484,390.47,182.5
K01485,775.22,309.5
K01486,603.5,455.0
K01487,562.97,202.41
K01488,1198.06,688.1700000000001
K01489,1648.5100000000002,1255.09
K01491,2654.75,2449.67
K01492,0.0,0.0
K01493,448.5100000000001,769.09
K01494,2182.3,1586.08
K01495,2861.86,2171.5
K01496,1273.05,1272.08
K01497,718.97,409.99
K01499,59.0,29.5
K01501,646.8299999999999,492.08
K01502,66.0,84.5
K01505,273.72,335.25
K01507,2204.81,1776.67
K01510,0.0,0.0
