,BIOFILME,CHORUME,LODO,OLEO,PEIXE,SEDIMENTO,SOLO
METHANOGENESIS-PWY,3195.1291100240423,510.1424789990702,59.27393788730335,72.39772280079866,149.5012204470415,154.68095558079278,17.363528353991395
METHGLYUT-PWY,0.12429335504471525,0.18149201244328822,19.295511754972303,16.81959227267826,17.121750406713073,4.154543152937782,17.013871804995368
METHYLGALLATE-DEGRADATION-PWY,0.6246136346776786,16.413394517474458,89.64828761554537,61.27379470483272,170.05658710023977,64.96118178138308,105.48741014374349
NAD-BIOSYNTHESIS-II,2603.5563409028346,109.76082113187273,182.5557011933299,196.99884246990695,614.2624965392384,250.5791092532089,376.386656092758
NADSYN-PWY,0.0,45.1302876785471,114.23809031912243,120.61900147863774,436.2101158031168,206.42984685298183,716.597605575007
NAGLIPASYN-PWY,40.635409778540954,1321.0437763744787,1452.1324786101727,1211.2363007769354,1461.150129097191,1492.9775914575662,2152.537639971971
NONMEVIPP-PWY,464.04417071169564,1428.8889263982244,1820.0883473971205,1648.7451276334657,2294.787905127268,2133.1409773409646,2247.08762410358
NONOXIPENT-PWY,689.3492896978219,2226.878606580739,2599.5839929605145,2404.2789769533324,3423.19263005321,3142.8741540983297,3117.7172087276745
OANTIGEN-PWY,1253.711027307922,1421.1340842861243,1663.9475922554454,1635.8241184237943,2441.9055768141284,2490.4774538213087,2391.8391601151898
ORNARGDEG-PWY,0.11666034290936116,0.11358622704351348,30.805309548234572,5.558357848669995,19.64916486464694,8.636376548886842,48.44336865327982
ORNDEG-PWY,0.0996244836650394,0.09988570215614719,40.38357813996775,83.87098311098238,42.82119978732962,14.822929673663548,0.0
P101-PWY,0.8331280586994152,304.658678638245,103.50751358903457,56.62797811199226,194.76859804189712,106.86045920725748,334.24000050234247
P105-PWY,38.97350559317597,527.2154460359931,1415.1488675783312,1373.8333467280233,2618.869251274384,2173.103605901974,2886.611043657327
P108-PWY,79.67354667561504,1139.2715051243133,1568.2831607769806,1385.2608057562013,2023.3733466599606,2253.1373113229247,2355.4703963532966
P122-PWY,3.268428289228918,79.10313456886954,269.2433580040255,489.0812983625892,986.4699567842873,417.90062282146675,551.2033477840762
P124-PWY,9.83685154328542,95.34822929874699,358.5694392642098,548.4074745177096,1202.2650169302372,492.72307776024485,878.2498158391484
