index	Group	d__Bacteria;p__Firmicutes	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Desulfobacterota	Unassigned;__	d__Bacteria;p__Cloacimonadota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Chloroflexi	d__Archaea;p__Halobacterota	d__Bacteria;p__Synergistota	d__Bacteria;p__Acidobacteriota	d__Bacteria;p__Patescibacteria	d__Bacteria;__	d__Bacteria;p__Spirochaetota	d__Bacteria;p__Campylobacterota
SRR30160160_CASTELLANO-HINOJOSA_2024	PEIXE	0.39803439803439805	0.01404001404001404	0.257985257985258	0.015093015093015093	0.0	0.001053001053001053	0.12530712530712532	0.016497016497016497	0.016497016497016497	0.007371007371007371	0.001053001053001053	0.04176904176904177	0.0	0.001053001053001053	0.009828009828009828
SRR30160161_CASTELLANO-HINOJOSA_2024	PEIXE	0.3653913653913654	0.015093015093015093	0.2657072657072657	0.014742014742014743	0.0	0.001053001053001053	0.1667251667251667	0.006669006669006669	0.02702702702702703	0.007371007371007371	0.001053001053001053	0.036504036504036504	0.000351000351000351	0.000351000351000351	0.005616005616005616
SRR30160162_CASTELLANO-HINOJOSA_2024	PEIXE	0.40716040716040713	0.009828009828009828	0.2755352755352755	0.010179010179010179	0.0	0.001053001053001053	0.15408915408915408	0.007722007722007722	0.01368901368901369	0.010179010179010179	0.002457002457002457	0.0351000351000351	0.000351000351000351	0.000351000351000351	0.005967005967005967
SRR30160163_CASTELLANO-HINOJOSA_2024	PEIXE	0.4152334152334152	0.011934011934011933	0.2723762723762724	0.015093015093015093	0.000702000702000702	0.000351000351000351	0.14496314496314497	0.009828009828009828	0.009126009126009126	0.006318006318006318	0.001755001755001755	0.04668304668304668	0.0	0.000702000702000702	0.004914004914004914
SRR30160164_CASTELLANO-HINOJOSA_2024	PEIXE	0.3811863811863812	0.012987012987012988	0.26816426816426814	0.015093015093015093	0.0	0.002457002457002457	0.13583713583713583	0.009126009126009126	0.02176202176202176	0.007722007722007722	0.000702000702000702	0.040716040716040715	0.0	0.0	0.00351000351000351
SRR30160165_CASTELLANO-HINOJOSA_2024	PEIXE	0.42962442962442965	0.012987012987012988	0.2965952965952966	0.015444015444015444	0.0	0.001755001755001755	0.12144612144612145	0.007722007722007722	0.007722007722007722	0.01368901368901369	0.000351000351000351	0.037557037557037556	0.000351000351000351	0.000702000702000702	0.008775008775008775
SRR30160166_CASTELLANO-HINOJOSA_2024	PEIXE	0.37697437697437697	0.011934011934011933	0.30782730782730783	0.01404001404001404	0.0	0.000351000351000351	0.15093015093015094	0.007722007722007722	0.015444015444015444	0.015795015795015795	0.000351000351000351	0.04247104247104247	0.0	0.0	0.006669006669006669
SRR30160167_CASTELLANO-HINOJOSA_2024	PEIXE	0.4222534222534223	0.01404001404001404	0.26921726921726924	0.009828009828009828	0.0	0.000702000702000702	0.13513513513513514	0.009477009477009477	0.014391014391014392	0.012636012636012635	0.000702000702000702	0.029484029484029485	0.000702000702000702	0.0	0.005265005265005265
SRR3214536_ZHAO_2017	SEDIMENTO	0.13408213408213407	0.05405405405405406	0.2084942084942085	0.1575991575991576	0.0	0.0	0.08143208143208143	0.13232713232713234	0.0	0.0	0.04282204282204282	0.023868023868023867	0.030537030537030538	0.003159003159003159	0.002106002106002106
SRR3214547_ZHAO_2017	SEDIMENTO	0.12846612846612845	0.05580905580905581	0.16321516321516322	0.1863811863811864	0.0	0.0	0.07406107406107407	0.17023517023517024	0.001755001755001755	0.0	0.05054405054405054	0.005967005967005967	0.033696033696033696	0.007371007371007371	0.000351000351000351
SRR3214554_ZHAO_2017	SEDIMENTO	0.1361881361881362	0.05440505440505441	0.1955071955071955	0.21586521586521587	0.0	0.0	0.05019305019305019	0.10670410670410671	0.001404001404001404	0.0	0.05124605124605124	0.015093015093015093	0.05054405054405054	0.00351000351000351	0.0
SRR3214573_ZHAO_2017	SEDIMENTO	0.13022113022113022	0.053352053352053355	0.15935415935415936	0.18006318006318006	0.0	0.0	0.07511407511407511	0.14110214110214112	0.002457002457002457	0.0	0.04598104598104598	0.018252018252018252	0.03896103896103896	0.007722007722007722	0.001053001053001053
SRR3214613_ZHAO_2017	SEDIMENTO	0.11477711477711477	0.06563706563706563	0.17269217269217269	0.2270972270972271	0.0	0.001404001404001404	0.0845910845910846	0.11196911196911197	0.002106002106002106	0.0	0.05475605475605476	0.013338013338013339	0.03615303615303615	0.003159003159003159	0.001404001404001404
SRR3214649_ZHAO_2017	SEDIMENTO	0.13197613197613198	0.06844506844506844	0.16286416286416286	0.2106002106002106	0.0	0.002106002106002106	0.06388206388206388	0.12530712530712532	0.004212004212004212	0.0	0.06282906282906282	0.010179010179010179	0.044226044226044224	0.004914004914004914	0.001404001404001404
SRR3214699_ZHAO_2017	SEDIMENTO	0.1274131274131274	0.061074061074061076	0.20603720603720604	0.2106002106002106	0.0	0.001404001404001404	0.06528606528606529	0.10424710424710425	0.0	0.0	0.041067041067041066	0.002457002457002457	0.04598104598104598	0.005616005616005616	0.001053001053001053
SRR3215144_ZHAO_2017	SEDIMENTO	0.12916812916812917	0.09722709722709723	0.23938223938223938	0.15724815724815724	0.0	0.005265005265005265	0.06388206388206388	0.11793611793611794	0.0	0.0	0.044226044226044224	0.003159003159003159	0.033345033345033345	0.004563004563004563	0.000702000702000702
SRR3215152_ZHAO_2017	SEDIMENTO	0.13057213057213057	0.07300807300807301	0.21726921726921727	0.138996138996139	0.0	0.001755001755001755	0.10424710424710425	0.11196911196911197	0.001053001053001053	0.0	0.06282906282906282	0.004914004914004914	0.04352404352404352	0.004212004212004212	0.001053001053001053
SRR3215163_ZHAO_2017	SEDIMENTO	0.11547911547911548	0.05861705861705862	0.26535626535626533	0.12109512109512109	0.0	0.000702000702000702	0.08704808704808704	0.11583011583011583	0.000351000351000351	0.0	0.05826605826605827	0.013338013338013339	0.04633204633204633	0.004563004563004563	0.0
SRR3215174_ZHAO_2017	SEDIMENTO	0.14110214110214112	0.06458406458406458	0.27764127764127766	0.1224991224991225	0.0	0.0	0.10249210249210249	0.13197613197613198	0.0	0.0	0.03545103545103545	0.004563004563004563	0.022113022113022112	0.00351000351000351	0.0
